Comment Date,Comment
"Aug 27, 2019, 4:19:28 PM",You caught me 🙃
"May 15, 2020, 4:56:02 PM",Omg are you okay?!?!
"Aug 22, 2020, 12:18:54 AM",Local Legend! 🏆🚵🏻‍♀️🥇
"Aug 30, 2020, 4:17:43 AM",But you didn’t even eat lunch today 🧐
"Sep 12, 2020, 5:24:08 PM",Whaaaaat??!?!?’
"Mar 9, 2021, 11:45:41 PM",Ehhhhh too nervous! At least when I have an issue now I know how to fix it!
"Aug 25, 2021, 11:10:12 PM",Yes I am actually dating my mom now 
"Jan 13, 2022, 10:35:23 PM",It was like 35! Properly chilly!! Although this afternoon it was like 72. I’m already getting soft 😂
"Feb 1, 2022, 4:41:54 PM",Great to know!!! I’ve been scrubbing and scrubbing! 😂😭
"Feb 17, 2022, 7:33:38 PM",Someone’s up early today!
"Mar 20, 2022, 1:37:16 PM",They crushed it! 🔥
"Mar 20, 2022, 1:37:43 PM",(With lots of stops for beers of course :) )
"Mar 25, 2022, 3:07:22 AM",Ikr?!?! But hey I’m local legend so I guess I’ll claim the title anyway 
"Apr 29, 2022, 10:33:31 AM",I’ll take what I can get 🤷🏼‍♀️
"May 3, 2022, 1:55:46 PM",It’s so muggy!!! I’m sweating before I even get out of bed in the morning!
"May 3, 2022, 7:41:47 PM",😂 what did I sign up for?!?
"May 5, 2022, 2:26:37 AM",I did have a pretty lucky day after that!
"Jun 30, 2022, 1:58:10 PM","Thank you, Kendra!"
"Dec 7, 2022, 11:17:13 PM",😎😎😎
"Feb 6, 2023, 5:28:19 PM",😂😂
"Feb 8, 2023, 1:17:57 AM",Gotta love those RRTs!
"Feb 8, 2023, 12:58:07 PM",Hey let’s not put the forest before the trees here!
"Mar 12, 2023, 5:30:43 PM",Guy Rubio so did you! Congrats on your second place finish! 🙌🙌
"May 21, 2023, 8:24:06 PM",Lane Tucker we miss you too!!!
"Jul 1, 2023, 5:23:45 PM",Lane Tucker it’s so nice here! I forgot what it feel like to not be hot! 😂
"Aug 6, 2023, 6:13:35 PM","Great to see you out there, Guy Rubio!!!"
"Aug 16, 2023, 10:55:17 AM",🔥🔥
"Aug 17, 2023, 12:16:20 AM",Me too plz!!!
